,City,Cloudiness,Country,Lat,Lang,Date,Humidity,Max Temp,Wind Speed
0,Hobart,40,AU,-42.88,147.33,1587361864,44,59.0,25.28
1,Sobolevo,20,RU,54.43,31.9,1587361865,72,37.72,11.56
2,Ancud,58,CL,-41.87,-73.82,1587361866,100,44.6,1.12
3,Manacapuru,20,BR,-3.3,-60.62,1587361866,94,77.0,2.21
4,Klaksvík,0,FO,62.23,-6.59,1587361866,93,42.8,12.75
5,Vaini,40,TO,-21.2,-175.2,1587361697,78,78.8,9.17
6,Dunedin,81,NZ,-45.87,170.5,1587361783,50,57.99,8.68
7,East London,0,ZA,-33.02,27.91,1587361867,68,71.6,4.7
8,Weligama,3,LK,5.97,80.42,1587361867,58,91.09,8.21
9,Busselton,97,AU,-33.65,115.33,1587361687,35,70.0,22.66
10,Souillac,75,MU,-20.52,57.52,1587361867,88,75.2,19.46
11,Hamilton,1,US,39.18,-84.53,1587361867,93,46.99,5.37
12,Maningrida,26,AU,-12.07,134.27,1587361868,62,88.56,10.87
13,Vilhena,95,BR,-12.74,-60.15,1587361694,83,67.84,2.06
14,Sungai Penuh,48,ID,-2.08,101.38,1587361868,47,81.7,1.97
15,Icod de los Vinos,5,ES,28.37,-16.71,1587361868,74,66.0,7.0
16,Bethel,75,US,41.37,-73.41,1587361868,43,52.0,3.36
17,Saldanha,85,ZA,-33.01,17.94,1587361869,87,59.0,12.75
18,Lorengau,34,PG,-2.02,147.27,1587361732,69,85.41,4.76
19,‘Āhuimanu,75,US,21.44,-157.84,1587361869,57,80.6,4.7
20,Half Moon Bay,90,US,37.46,-122.43,1587361865,71,57.0,4.7
21,Berea,86,US,41.37,-81.85,1587361869,72,39.99,1.01
22,Brownsville,90,US,25.9,-97.5,1587361870,88,78.8,6.93
23,Ilesha,100,NG,7.14,5.26,1587361870,90,73.49,3.13
24,Mar del Plata,89,AR,-38.0,-57.56,1587361858,93,61.0,4.85
25,Nishihara,75,JP,26.18,127.76,1587361761,77,71.6,6.93
26,Lodwar,100,KE,3.12,35.6,1587361870,44,81.63,3.8
27,Punta Arenas,40,CL,-53.15,-70.92,1587361871,75,42.8,19.46
28,Yeniseysk,94,RU,58.45,92.17,1587361871,47,47.64,12.26
29,Hofn,93,IS,64.25,-15.21,1587361871,87,44.64,7.81
30,Puerto Escondido,8,MX,15.85,-97.07,1587361872,71,78.08,2.21
31,Ushuaia,90,AR,-54.8,-68.3,1587361873,80,39.2,32.21
32,Rikitea,61,PF,-23.12,-134.97,1587361689,71,76.8,6.62
33,Albany,96,US,42.6,-73.97,1587361873,56,48.0,1.99
34,Khatanga,30,RU,71.97,102.5,1587361873,98,33.03,5.75
35,Lompoc,75,US,34.64,-120.46,1587361731,81,51.8,7.81
36,Khovd,0,MN,48.01,91.64,1587361874,22,49.37,5.23
37,New Norfolk,61,AU,-42.78,147.06,1587361874,74,57.99,5.99
38,Iqaluit,20,CA,63.75,-68.51,1587361698,63,-5.01,2.68
39,Narsaq,1,GL,60.92,-46.05,1587361874,49,23.0,5.82
40,Sorong,35,ID,-0.88,131.25,1587361874,81,85.17,3.15
41,Cape Town,75,ZA,-33.93,18.42,1587361875,72,62.01,13.87
42,Puerto Ayora,65,EC,-0.74,-90.35,1587361875,87,80.01,5.99
43,Santa,79,PH,17.49,120.43,1587361875,50,91.92,10.36
44,Port Blair,28,IN,11.67,92.75,1587361875,74,85.21,8.08
45,Bluff,63,NZ,-46.6,168.33,1587361697,78,55.0,4.0
46,Aklavik,90,CA,68.22,-135.01,1587361876,72,14.0,10.29
47,Dikson,93,RU,73.51,80.55,1587361876,96,33.03,14.9
48,Atuona,71,PF,-9.8,-139.03,1587361876,76,82.62,15.99
49,Arraial do Cabo,46,BR,-22.97,-42.03,1587361877,81,70.61,7.05
50,Cidreira,0,BR,-30.18,-50.21,1587361877,86,65.88,14.16
